# inner_x; inner_y
-3.99371; 0.28681
-3.99837; 0.91335
-4.00046; 2.01452
-4.00057; 2.99918
-4.00024; 3.99691
-3.99954; 4.98812
-4.00026; 5.98302
-4.00192; 6.97827
-4.00241; 7.97456
-4.00160; 8.97155
-4.00164; 9.96926
-4.00073; 10.96764
-4.00046; 11.96673
-4.00017; 12.96657
-4.00004; 13.96714
-4.00137; 14.96837
-3.99782; 15.97021
-3.99775; 16.97258
-3.99906; 17.97542
-4.00017; 18.97868
-4.00035; 19.98229
-4.00080; 20.98618
-4.00012; 21.99031
-3.99968; 22.99461
-3.99990; 23.99902
-4.00040; 25.00349
-4.00037; 26.00796
-3.99985; 27.01237
-3.99947; 28.01666
-3.99983; 29.02078
-4.00133; 30.02467
-4.00119; 31.02827
-3.99948; 32.03152
-3.99625; 33.03437
-3.99527; 34.03676
-4.00078; 35.03862
-4.00074; 36.03991
-4.00501; 37.04056
-4.00294; 38.04050
-3.99843; 39.03961
-3.99950; 40.03794
-4.00126; 41.03561
-4.00088; 42.03264
-4.00034; 43.02907
-3.99955; 44.02496
-3.99806; 45.02037
-4.00000; 46.01536
-3.99989; 47.01001
-3.99982; 48.00438
-4.00015; 48.99853
-4.00041; 49.99253
-4.00049; 50.98644
-3.99956; 51.98034
-3.99976; 52.97427
-4.00054; 53.96831
-3.99945; 54.96253
-3.99782; 55.95699
-4.00074; 56.95175
-4.00136; 57.94689
-4.00401; 58.94246
-4.02298; 59.93852
-4.00698; 60.93519
-4.00044; 61.93249
-3.99897; 62.93048
-3.99917; 63.92923
-3.99855; 64.92882
-4.00211; 65.92931
-4.00098; 66.93076
-4.00022; 67.93324
-4.00115; 68.93681
-4.00110; 69.94155
-3.99994; 70.94753
-4.00205; 71.95484
-4.00133; 72.96356
-3.99887; 73.97379
-4.00042; 74.98562
-4.00077; 75.99928
-4.00115; 77.01577
-4.00046; 78.03661
-3.99846; 79.05559
-3.99809; 80.06679
-4.00811; 81.07578
-4.00837; 82.08375
-4.01243; 83.06716
-4.03174; 84.01522
-4.07030; 84.95111
-4.11798; 85.87812
-4.18666; 86.79478
-4.27234; 87.68848
-4.37855; 88.54339
-4.51166; 89.38779
-4.66990; 90.21898
-4.85173; 91.01323
-5.06238; 91.78065
-5.30537; 92.53083
-5.58092; 93.26146
-5.88628; 93.96144
-6.23009; 94.64329
-6.61312; 95.30921
-7.03040; 95.94437
-7.49565; 96.55958
-7.98504; 97.14326
-8.51332; 97.68736
-9.07407; 98.20171
-9.60865; 98.62590
-10.12874; 98.96831
-10.71096; 99.27695
-11.28344; 99.52888
-11.84844; 99.70742
-12.49074; 99.84222
-13.10723; 99.92255
-13.70092; 99.93148
-14.33565; 99.88887
-14.97812; 99.78123
-15.64244; 99.60856
-16.28763; 99.38362
-16.90785; 99.10663
-17.55481; 98.75744
-18.19259; 98.36218
-18.79235; 97.93882
-19.42262; 97.43997
-20.12048; 96.84383
-20.84146; 96.17750
-21.53599; 95.48734
-22.19798; 94.78364
-22.84602; 94.05578
-23.48013; 93.31189
-24.10109; 92.55282
-24.71270; 91.78120
-25.31923; 90.99983
-25.92536; 90.21195
-26.53375; 89.41884
-27.14508; 88.61964
-27.76011; 87.81378
-28.37777; 86.99904
-28.99688; 86.17296
-29.62286; 85.33843
-30.25377; 84.49172
-30.89377; 83.64599
-31.54604; 82.81023
-32.21663; 81.99103
-32.90743; 81.19698
-33.62786; 80.43458
-34.36726; 79.72525
-35.18763; 79.02530
-36.18092; 78.27788
-37.27350; 77.56331
-38.39715; 76.93290
-39.54208; 76.38889
-40.66955; 75.93592
-41.79259; 75.55549
-42.95179; 75.23201
-44.09801; 74.98721
-45.21393; 74.80361
-46.35982; 74.67637
-47.49777; 74.61227
-48.66201; 74.60712
-49.86749; 74.67649
-51.06593; 74.82002
-52.27469; 75.04102
-53.48970; 75.34474
-54.71575; 75.74106
-55.90027; 76.21996
-57.00641; 76.74205
-58.09556; 77.32844
-59.19171; 78.00600
-60.22592; 78.74697
-61.18736; 79.50620
-62.09594; 80.30331
-62.95664; 81.12976
-63.79107; 82.00576
-64.60896; 82.96364
-65.38098; 83.99721
-66.07055; 85.06615
-66.68490; 86.17130
-67.21580; 87.29929
-67.62871; 88.36378
-67.94229; 89.34420
-68.18530; 90.28320
-68.38364; 91.23309
-68.55162; 92.20959
-68.69688; 93.19136
-68.81467; 94.18142
-68.91107; 95.18023
-68.99449; 96.18450
-69.06920; 97.19265
-69.12632; 98.20769
-69.18819; 99.22170
-69.25381; 100.23559
-69.32931; 101.24785
-69.41935; 102.25791
-69.52720; 103.26593
-69.66405; 104.26896
-69.82791; 105.26755
-70.03033; 106.25421
-70.27768; 107.22670
-70.56975; 108.17202
-70.89344; 109.03076
-71.21551; 109.75338
-71.54921; 110.38355
-71.91165; 110.95938
-72.30708; 111.48708
-72.76486; 112.00542
-73.25618; 112.48726
-73.73896; 112.88705
-74.20673; 113.20418
-74.73445; 113.48681
-75.34336; 113.74851
-75.90352; 113.93348
-76.48237; 114.05633
-77.12077; 114.12921
-77.67555; 114.15465
-78.20654; 114.10766
-78.78564; 114.00093
-79.33687; 113.83983
-79.87622; 113.61805
-80.42927; 113.31910
-80.93376; 112.99512
-81.39843; 112.61773
-81.87148; 112.15785
-82.30183; 111.66202
-82.68128; 111.13609
-83.03550; 110.54394
-83.35175; 109.91095
-83.62585; 109.23651
-83.86255; 108.51015
-84.03782; 107.83486
-84.14354; 107.16613
-84.22539; 106.39649
-84.25896; 105.61466
-84.24470; 104.84771
-84.18401; 104.05407
-84.08308; 103.27184
-83.92982; 102.48186
-83.74520; 101.67214
-83.52196; 100.88012
-83.24911; 100.08082
-82.96939; 99.28725
-82.64794; 98.50844
-82.28967; 97.70865
-81.90860; 96.91814
-81.50044; 96.12744
-81.06413; 95.32584
-80.61562; 94.53838
-80.13675; 93.74906
-79.61573; 92.92532
-79.07464; 92.08674
-78.51436; 91.25823
-77.95067; 90.42784
-77.37435; 89.60339
-76.79113; 88.78216
-76.20858; 87.95989
-75.62207; 87.13964
-75.03288; 86.31935
-74.44497; 85.49625
-73.85960; 84.67376
-73.27627; 83.85337
-72.69668; 83.03185
-72.12065; 82.20883
-71.54373; 81.38698
-70.96801; 80.56501
-70.39529; 79.74177
-69.82558; 78.91727
-69.25322; 78.09496
-68.68555; 77.27030
-68.11726; 76.44653
-67.54631; 75.62490
-66.97801; 74.80210
-66.41243; 73.97810
-65.84574; 73.15520
-65.27838; 72.33312
-64.71109; 71.51142
-64.14477; 70.68969
-63.57776; 69.86896
-62.99211; 69.05982
-62.42196; 68.24122
-61.87311; 67.40977
-61.30386; 66.59106
-60.73733; 65.77087
-60.16610; 64.95374
-59.59531; 64.13646
-59.02782; 63.31725
-58.46002; 62.49830
-57.88911; 61.68128
-57.31779; 60.86451
-56.74710; 60.04732
-56.17674; 59.22986
-55.60349; 58.41406
-55.03475; 57.59536
-54.46207; 56.77891
-53.88933; 55.96228
-53.31924; 55.14380
-52.74734; 54.32616
-52.17498; 53.50849
-51.60242; 52.69061
-51.02971; 51.87244
-50.45711; 51.05380
-49.88560; 50.23406
-49.31924; 49.41068
-48.74476; 48.59177
-48.16877; 47.77325
-47.59657; 46.95184
-47.02093; 46.13192
-46.44828; 45.30952
-45.87676; 44.48574
-45.30447; 43.66171
-44.73079; 42.83778
-44.15803; 42.01248
-43.58516; 41.18643
-43.01265; 40.35935
-42.44014; 39.53162
-41.86588; 38.70538
-41.28465; 37.88350
-40.72357; 37.04730
-40.15742; 36.21276
-39.59369; 35.37659
-39.03525; 34.53736
-38.47970; 33.69642
-37.93711; 32.84780
-37.39678; 31.99239
-36.85835; 31.11955
-36.32030; 30.22130
-35.78675; 29.30172
-35.26914; 28.37517
-34.76686; 27.44266
-34.27594; 26.49194
-33.79828; 25.51679
-33.34873; 24.53653
-32.91941; 23.55838
-32.50842; 22.55882
-32.11921; 21.54182
-31.75509; 20.51143
-31.42016; 19.47533
-31.10850; 18.42893
-30.82389; 17.36735
-30.56965; 16.31326
-30.34071; 15.25950
-30.12882; 14.17799
-29.95076; 13.09764
-29.79278; 12.02900
-29.65783; 10.91571
-29.55783; 9.79130
-29.48922; 8.70236
-29.44235; 7.62473
-29.41631; 6.52607
-29.41976; 5.39548
-29.45765; 4.26924
-29.52688; 3.17442
-29.61097; 2.07872
-29.73046; 0.96119
-29.88159; -0.14635
-30.05840; -1.23039
-30.26119; -2.31883
-30.49560; -3.40391
-30.75528; -4.47153
-31.04223; -5.53226
-31.35743; -6.58610
-31.69878; -7.62189
-32.06240; -8.65052
-32.45550; -9.67033
-32.87027; -10.67069
-33.30861; -11.66029
-33.76726; -12.63127
-34.24420; -13.59208
-34.75167; -14.55519
-35.28159; -15.50280
-35.82828; -16.42831
-36.39512; -17.35281
-36.98995; -18.27163
-37.60669; -19.17983
-38.25104; -20.08452
-38.93089; -20.99126
-39.65363; -21.89969
-40.42679; -22.80667
-41.25661; -23.70389
-42.14139; -24.57636
-43.07965; -25.41290
-44.06865; -26.20298
-45.12264; -26.94853
-46.23294; -27.62782
-47.35860; -28.21773
-48.50495; -28.72790
-49.70088; -29.16528
-50.91313; -29.50912
-52.09724; -29.75727
-53.30407; -29.92540
-54.56613; -30.00067
-55.82322; -29.96504
-57.05884; -29.83269
-58.33297; -29.58041
-59.64984; -29.18049
-60.91240; -28.64968
-62.07083; -28.03539
-63.18543; -27.33015
-64.24944; -26.53326
-65.21827; -25.69367
-66.10678; -24.82889
-66.98775; -23.88607
-67.82978; -22.83742
-68.55374; -21.79699
-69.14402; -20.80735
-69.62374; -19.87146
-70.03453; -18.95662
-70.40375; -18.01580
-70.74335; -17.06732
-71.05090; -16.11315
-71.33543; -15.15101
-71.60394; -14.18416
-71.85294; -13.20927
-72.09861; -12.23634
-72.34035; -11.26349
-72.58329; -10.29006
-72.83243; -9.31822
-73.09229; -8.35033
-73.37071; -7.38940
-73.66702; -6.43337
-73.98880; -5.48560
-74.34349; -4.54990
-74.73319; -3.63011
-75.17146; -2.73587
-75.63493; -1.87650
-76.08615; -1.13355
-76.51550; -0.52242
-76.98606; 0.05823
-77.48929; 0.60650
-78.01426; 1.10349
-78.57428; 1.56532
-79.10385; 1.94093
-79.64408; 2.25286
-80.22046; 2.52287
-80.79901; 2.73187
-81.39585; 2.88771
-81.97021; 2.98213
-82.55033; 3.01750
-83.16252; 2.99787
-83.77292; 2.92128
-84.38060; 2.78794
-84.99527; 2.59343
-85.62042; 2.33558
-86.23069; 2.02296
-86.82062; 1.65726
-87.38835; 1.24040
-87.92459; 0.77823
-88.42158; 0.27710
-88.88504; -0.27112
-89.31620; -0.86605
-89.70521; -1.49485
-90.05191; -2.15465
-90.35762; -2.84518
-90.62372; -3.56254
-90.84632; -4.28941
-91.02665; -5.02595
-91.16734; -5.77690
-91.26787; -6.52300
-91.32721; -7.28017
-91.34955; -8.05425
-91.33299; -8.82422
-91.27673; -9.60995
-91.18245; -10.41575
-91.05092; -11.23864
-90.88706; -12.05977
-90.69538; -12.83907
-90.45187; -13.65089
-90.15842; -14.53227
-89.86495; -15.36749
-89.53887; -16.18194
-89.16565; -17.04645
-88.78401; -17.89179
-88.38091; -18.71553
-87.95909; -19.55124
-87.51783; -20.37808
-87.05827; -21.20469
-86.58692; -22.02379
-86.09973; -22.84089
-85.59668; -23.66259
-85.09631; -24.45992
-84.58036; -25.24907
-84.03218; -26.06386
-83.47889; -26.88629
-82.93849; -27.69662
-82.37896; -28.49508
-81.80691; -29.30534
-81.22957; -30.12017
-80.64488; -30.92905
-80.06172; -31.73865
-79.47607; -32.54516
-78.88551; -33.34666
-78.29478; -34.14699
-77.71360; -34.95226
-77.12865; -35.75220
-76.54258; -36.54941
-75.96076; -37.34846
-75.38023; -38.14778
-74.78888; -38.93935
-74.23032; -39.75383
-73.65576; -40.55777
-73.08319; -41.36404
-72.52053; -42.17854
-71.95224; -42.99091
-71.38271; -43.80458
-70.81681; -44.62336
-70.25290; -45.44653
-69.68926; -46.27333
-69.12624; -47.10442
-68.56883; -47.94384
-68.00881; -48.78723
-67.44783; -49.63909
-66.88984; -50.49888
-66.33402; -51.36024
-65.77896; -52.22307
-65.21924; -53.08376
-64.66287; -53.94650
-64.10344; -54.80539
-63.53292; -55.65280
-62.97612; -56.50167
-62.41921; -57.32070
-61.86809; -58.09495
-61.30153; -58.86327
-60.73759; -59.60340
-60.22639; -60.24068
-59.69315; -60.83122
-59.09499; -61.45395
-58.48038; -62.05239
-57.88019; -62.59349
-57.24429; -63.11222
-56.56857; -63.63405
-55.90905; -64.09976
-55.25663; -64.50962
-54.57736; -64.87985
-53.92239; -65.19682
-53.27172; -65.44166
-52.64855; -65.63397
-52.09359; -65.75129
-51.55889; -65.79923
-51.00218; -65.80423
-50.42452; -65.74917
-49.83465; -65.63755
-49.20477; -65.45658
-48.52792; -65.20826
-47.86738; -64.91675
-47.22587; -64.57970
-46.57240; -64.18337
-45.93563; -63.74444
-45.31589; -63.25841
-44.69944; -62.71634
-44.09281; -62.12540
-43.49956; -61.49445
-42.92194; -60.83053
-42.35750; -60.13715
-41.79036; -59.40119
-41.20416; -58.61329
-40.61544; -57.80205
-40.03043; -56.98797
-39.44350; -56.17329
-38.85379; -55.36148
-38.26009; -54.55383
-37.66577; -53.74813
-37.06963; -52.94524
-36.47090; -52.14550
-35.87152; -51.34732
-35.27045; -50.55121
-34.66979; -49.75522
-34.06911; -48.95939
-33.46785; -48.16393
-32.86715; -47.36740
-32.26767; -46.56748
-31.66899; -45.76610
-31.07342; -44.96717
-30.48182; -44.17202
-29.89345; -43.37449
-29.30317; -42.57355
-28.71325; -41.77057
-28.12385; -40.96579
-27.53414; -40.15918
-26.94434; -39.35171
-26.35554; -38.54313
-25.76744; -37.73385
-25.18026; -36.92387
-24.59389; -36.11331
-24.00662; -35.30347
-23.41991; -34.49330
-22.83309; -33.68334
-22.24628; -32.87356
-21.65966; -32.06396
-21.07276; -31.25528
-20.48603; -30.44674
-19.89828; -29.63869
-19.30958; -28.83131
-18.72031; -28.02441
-18.13128; -27.21737
-17.54110; -26.41115
-16.95102; -25.60478
-16.36025; -24.79878
-15.76815; -23.99359
-15.17602; -23.18818
-14.58299; -22.38311
-13.98929; -21.57812
-13.39459; -20.77331
-12.79881; -19.96859
-12.20277; -19.16314
-11.60488; -18.35794
-11.00648; -17.55190
-10.40698; -16.74537
-9.80541; -15.93798
-9.20121; -15.12784
-8.59778; -14.31834
-8.01345; -13.52656
-7.46074; -12.75844
-6.94299; -12.00855
-6.47333; -11.28671
-6.03784; -10.55640
-5.63996; -9.83133
-5.30837; -9.14845
-5.02412; -8.45837
-4.78415; -7.77549
-4.58908; -7.06835
-4.41672; -6.30535
-4.28363; -5.53605
-4.18466; -4.67475
-4.09642; -3.73201
-4.02895; -2.68377
-4.01170; -2.01003
-4.00626; -0.78936
